,Title,Description,Category
10,High fuel prices hit BA's profits,british airway blame high fuel price 40 drop profit report result three month 31 decemb 2004 airlin made pretax profit £75m 141m compar £125m year earlier rod eddington bas chief execut result respect third quarter fuel cost rose £106m 473 bas profit still better market expect £59m expect rise fullyear revenu help offset increas price aviat fuel ba last year introduc fuel surcharg passeng octob increas £6 £10 oneway longhaul flight shorthaul surcharg rais £250 £4 leg yet aviat analyst mike powel dresdner kleinwort wasserstein say bas estim annual surcharg revenu £160m still way short addit fuel cost predict extra £250m turnov quarter 43 £197bn benefit rise cargo revenu look ahead full year result march 2005 ba warn yield averag revenu per passeng expect declin continu lower price face competit lowcost carrier howev sale would better previous forecast year march 2005 total revenu outlook slight better previous guidanc 3 35 improv anticip ba chairman martin broughton ba previous forecast 2 3 rise fullyear revenu also report friday passeng number rose 81 januari aviat analyst nick van den brul bnp pariba describ bas latest quarter result pretti modest quit good revenu side show impact fuel surcharg posit cargo develop howev oper margin cost impact fuel strong sinc 11 septemb 2001 attack unit state ba cut 13000 job part major costcut drive focus remain reduc control cost debt whilst continu invest product mr eddington exampl taken deliveri six airbus a321 aircraft next month start improv club world flat bed bas share close four penc 2745 penc,Business
11,Peugeot deal boosts Mitsubishi,struggl japanes car maker mitsubishi motor struck deal suppli french car maker peugeot 30000 sport util vehicl suv two firm sign memorandum understand say expect seal final agreement spring 2005 allianc come badlyneed boost lossmak mitsubishi sever profit warn poor sale suv built japan use peugeot diesel engin sold main european market fall sale left mitsubishi motor underus capac product deal peugeot give chanc utilis januari mitsubishi motor issu third profit warn nine month cut sale forecast year march 2005 sale slid 41 past year catalys revel compani systemat hide record fault secret repair vehicl result japanes car maker sought seri financi bailout last month look 540bn yen 52bn £277bn fresh financi back half compani mitsubishi group usgerman carmak daimlerchryls 30 sharehold mitsubishi motor decid april 2004 pump money deal peugeot celebr mitsubishi newlyappoint chief execut takashi nishioka took three top boss stood last month shoulder respons firm troubl mitsubishi motor forecast net loss 472bn yen current financi year march 2005 last month sign product agreement japanes rival nissan motor suppli 36000 small car sale japan make car nissan sinc 2003,Business
12,Ad sales boost Time Warner profit,quarter profit us media giant timewarn jump 76 113bn £600m three month decemb 639m yearearli firm one biggest investor googl benefit sale highspe internet connect higher advert sale timewarn fourth quarter sale rose 2 111bn 109bn profit buoy oneoff gain offset profit dip warner bros less user aol time warner friday own 8 searchengin googl internet busi aol mix fortun lost 464000 subscrib fourth quarter profit lower preced three quarter howev compani aol under profit except item rose 8 back stronger internet advertis revenu hope increas subscrib offer onlin servic free timewarn internet custom tri sign aol exist custom highspe broadband timewarn also restat 2000 2003 result follow probe us secur exchang commiss sec close conclud time warner fourth quarter profit slight better analyst expect film divis saw profit slump 27 284m help boxoffic flop alexand catwoman sharp contrast yearearli third final film lord ring trilog boost result fullyear timewarn post profit 336bn 27 2003 perform revenu grew 64 4209bn financi perform strong meet exceed fullyear object great enhanc flexibl chairman chief execut richard parson 2005 timewarn project oper earn growth around 5 also expect higher revenu wider profit margin timewarn restat account part effort resolv inquiri aol us market regul alreadi offer pay 300m settl charg deal review sec compani unabl estim amount need set asid legal reserv previous set 500m intend adjust way account deal german music publish bertelsmann purchas stake aol europ report advertis revenu book sale stake aol europ loss valu stake,Business
13,Yukos unit buyer faces loan claim,owner embattl russian oil giant yuko ask buyer former product unit pay back 900m £479m loan stateown rosneft bought yugansk unit 93bn sale forc russia part settl 275bn tax claim yuko yuko owner menatep group say ask rosneft repay loan yugansk secur asset rosneft alreadi face similar 540m repay demand foreign bank legal expert rosneft purchas yugansk would includ oblig pledg asset rosneft pay real money creditor avoid seizur yugansk asset moscowbas us lawyer jami fireston connect case menatep group manag director tim osborn told reuter news agenc default fight rule law exist intern arbitr claus credit rosneft offici unavail comment compani intend take action menatep recov tax claim debt owe yugansk yuko file bankruptci protect us court attempt prevent forc sale main product arm sale went ahead decemb yugansk sold littleknown shell compani turn bought rosneft yuko claim downfal punish polit ambit founder mikhail khodorkovski vow sue particip sale,Business
14,Pernod takeover talk lifts Domecq,share uk drink food firm alli domecq risen specul could target takeov franc pernod ricard report wall street journal financi time suggest french spirit firm consid bid yet contact target alli domecq share london rose 4 1200 gmt pernod share pari slip 12 pernod seek acquisit refus comment specif pernod last major purchas third us giant seagram 2000 move propel global top three drink firm twothird seagram bought market leader diageo term market valu pernod 75bn euro 97bn 9 smaller alli domecq capitalis £57bn 107bn 82bn euro last year pernod tri buy glenmorangi one scotland premier whiski firm lost luxuri good firm lvmh pernod home brand includ chiva regal scotch whiski havana club rum jacob creek wine alli domecq big name includ malibu rum courvoisi brandi stolichnaya vodka ballantin whiski well snack food chain dunkin donut baskinrobbin ice cream wsj two ripe consolid dealt problemat part portfolio pernod reduc debt took fund seagram purchas 18bn euro alli improv perform fastfood chain,Business
15,Ethiopia's crop production up 24%,ethiopia produc 1427 million tonn crop 2004 24 higher 2003 21 averag past five year report say 2003 crop product total 1149 million tonn joint report food agricultur organis world food programm good rain increas use fertil improv seed contribut rise product nevertheless 22 million ethiopian still need emerg assist report calcul emerg food requir 2005 387500 tonn top 89000 tonn fortifi blend food veget oil target supplementari food distribut surviv programm children five pregnant lactat women need eastern southern ethiopia prolong drought kill crop drain well last year total 965000 tonn food assist need help seven million ethiopian food agricultur organis fao recommend food assist bought local local purchas cereal food assist programm recommend far possibl assist domest market farmer henri josserand chief fao global inform earli warn system agricultur main econom activ ethiopia repres 45 gross domest product 80 ethiopian depend direct indirect agricultur,Business
16,Air passengers win new EU rights,air passeng unabl board flight overbook cancel flight delay demand greater compens new eu rule set compens 250 euro £173 600 euro depend length flight new rule appli schedul charter flight includ budget airlin airlin attack legisl say could forc push price higher cover extra cost european commiss face two legal challeng one european lowfar airlin associ elaa intern air transport associ iata attack packag bad piec legisl previous passeng could claim 150 euro 300 euro stop board howev schedul flight oper oblig offer compens case overbook offer compens flight cancel eu decid increas passeng compens bid deter airlin deliber overbook flight overbook often lead bump passeng move later flight happen passeng airlin offer compens addit flight cancel delay two hour fault airlin passeng must paid compens howev airlin offer compens flight cancel delay due extraordinari circumst airlin fear extraordinari circumst may includ bad weather secur alert strike event outsid control eubas airlin oper flight take eu adher new compens regim came forc thursday lowcost airlin criticis new compens level argu payout could worth ticket preposter piec legisl among airlin fight ryanair deputi chief execut michael cawley told radio 4s today programm european region airlin associ eraa claim neither airlin consum consult chang andi clark eraa director air transport ec advic mislead custom lead believ airlin could liabl payout flight delay bad weather ec spokeswoman marja quillinanmeiland conced grey area big airlin make case disput nation enforc bodi would decid whether passeng case new technolog mean easier airlin take land bad weather ad eraa mr clark also warn airlin would compli new rule extra cost would pass onto passeng reckon go cost european air passeng airlin airlin money paid passeng 15bn euro that £1bn year load onto european passeng mr clark that basic transfer money passeng whose journey disrupt passeng whose journey disrupt wednesday jacqu barrot vice presid european commiss also commission transport chang necessari boom air travel need accompani proper protect passeng right concret exampl union benefit peopl daili live ad ec launch inform campaign airport travel agenc inform airlin passeng new right,Business
17,India's rupee hits five-year high,india rupe hit fiveyear high standard poor sp rais countri foreign currenc rate rupe climb 43305 per us dollar thursday close 4341 currenc gain almost 1 past three session sp rate borrow creditworthi lift india rate one notch bb indian asset seen less gambl cash expect flow market buoy rupe upgrad posit basic peopl use excus come back india bhanu baweja strategist ub money move india first two three week januari market like korea thailand upgrad lead revers india foreign currenc rate one notch invest grade start bbb increas put level romania egypt el salvador one level russia,Business
18,Yukos loses US bankruptcy battle,judg dismiss attempt russian oil giant yuko gain bankruptci protect us yuko file chapter 11 protect houston unsuccess attempt halt auction yugansk divis russian author court rule blow effort get damag sale yugansk yuko claim illeg sold separ former yuko boss mikhail khodorkovski began testimoni friday trial fraud tax evas mr khodorkovski jail year plead guilti charg brought deni involv crimin activ pride head 15 year number success compani help enterpris rise knee told russian court yugansk auction help pay 275bn £145bn unpaid tax bought 94bn previouslyunknown group turn bought almost immedi statecontrol oil compani rosneft texa judg letitia clark yuko enough us presenc establish us jurisdict vast major busi financi activ yuko continu occur russia judg clark rule activ requir continu particip russian govern yuko argu us court entitl declar bankrupt yugansk unit sold sinc local bank account chief financ offic bruce misamor live houston yuko claim sought help us forum russian court european court human right either unfriend offer less protect russia indic would case abid rule us court rule judg acknowledg appear like agenc russian govern act manner would consid confiscatori unit state law role simpli decid jurisdict us court jurisdict challeng deutsch bank gazpromneft former unit russian gas monopoli gazprom due merg rosneft analyst abil gazprom rosneft trade freeli oversea stifl ownership yugansk remain unclear yuko would consid option light rule howev claim court back argument four five key issu believ merit case strong simpl chief execut steven theed asset illeg seiz want back damag paid,Business
19,Jobs growth still slow in the US,us creat fewer job expect januari fall jobseek push unemploy rate lowest level three year accord labor depart figur us firm ad 146000 job januari gain nonfarm payrol market expect 190000 new job nevertheless enough push unemploy rate 52 lowest level sinc septemb 2001 job gain mean presid bush celebr albeit fine margin net growth job us economi first term offic presid net fall job last novemb presidenti elect first presid sinc herbert hoover result job creation becam key issu last year elect howev ad decemb januari figur administr first term job record end posit territori labor depart also revis job gain decemb 2004 157000 133000 analyst growth new job strong could expect given favour econom condit suggest employ continu expand moder pace rick egelton deputi chief economist bmo financi group get boost employ would got given low valu dollar still relat low interest rate environ economi produc moder satisfi amount job growth ken mayland presid clearview econom mean limit number new opportun worker,Business
20,Parmalat boasts doubled profits,parmalat italian food group centr one europ pain corpor scandal report doubl profit pretax earn fourth quarter 77m euro £53m 100m 38m period 2003 less welcom news firm fine 11m euro violat takeov rule five year ago firm sought bankruptci protect decemb 2003 disclos 4bneuro hole account overal compani debt close 12bn euro fall slowli brand wellknown itali oversea continu perform strong howev bare lost revenu sinc scandal broke crucial factor compani futur legal unwind intens complex financi posit tuesday compani administr turnaround expert enrico bondi su morgan stanley former banker return 136m euro relat 2003 bond deal brought 49 number bank mr bondi su mass legal action could bring much 3bn euro compani also su former auditor financi advisor damag crimin case compani former manag proceed separ,Business
21,Safety alert as GM recalls cars,world biggest carmak general motor gm recal near 200000 vehicl us safeti ground accord feder regul nation highway traffic safeti administr nhtsa largest recal involv 155465 pickup van sport util vehicl suv possibl malfunct brake system affect vehicl product recal 2004 2005 model year gm vehicl potenti fault chevrolet avalanch express kodiak silverad suburban gmc savana sierra yukon nhtsa pressur accumul brake system could crack normal drive fragment could injur peopl hood open could allow hydraul fluid leak could make harder brake steer could caus crash warn gm also recal 19924 cadillac xlr coup srx suv pontiac grand prix sedan 2004 model year acceler pedal may work proper extrem cold temperatur requir brake addit car giant call back 17815 buick ranier chevrolet trailblaz gmc envoy isuzu ascend 2005 model year windshield proper fit could fall crash howev gm stress know injuri relat problem news recal follow announc last month gm expect earn year lower 2004 world biggest car maker grappl loss european busi weak us sale product recal januari gm higher healthcar cost north america lower profit financi servic subsidiari would hurt perform 2005,Business
22,"Steel firm 'to cut' 45,000 jobs",mittal steel one world largest steel produc could cut 45000 job next five year chief execut netherlandsbas compani due complet 45bn acquisit us firm isg next month make one largest global firm kind howev lakshmi mittal told investor combin compani shed thousand job indianborn magnat say job loss would fall mr mittal told us investor acquisit intern steel group complet compani would aim reduc workforc 7000 8000 annual could see workforc trim 155000 110000 staff 2010 invest modernis employe go mr mittal told confer chicago mittal steel form last year mr mittal lnm hold merg dutch firm ispat combin mittal steel isg would annual sale 32bn £167bn 241bn euro product capac 70 million tonn mittal steel spokeman decis job cut made yet tri creat sustain steel industri want invest new technolog spokesman mittal steel oper 14 countri mani busi particular eastern europ previous state own huge workforc employ 50000 staff kazakhstan alon larg oper romania czech republ south africa unit state,Business
23,Japan narrowly escapes recession,japan economi teeter brink technic recess three month septemb figur show revis figur indic growth 01 similars contract previous quarter annual basi data suggest annual growth 02 suggest much hesit recoveri previous thought common technic definit recess two success quarter negat growth govern keen play worri implic data maintain view japan economi remain minor adjust phase upward climb monitor develop care economi minist heizo takenaka face strengthen yen make export less competit indic weaken econom condit ahead observ less sanguin paint pictur recoveri much patchier previous thought paul sheard economist lehman brother tokyo improv job market appar yet feed domest demand privat consumpt 02 third quarter,Business
24,Telegraph newspapers axe 90 jobs,daili sunday telegraph newspap axe 90 journalist job 17 editori staff telegraph group say cut need fund £150m invest new print facil journalist firm met friday afternoon discuss react surpris announc cut come background fierc competit reader sluggish advertis revenu amid competit onlin advertis nation union journalist call manag recal notic redund midday monday face strike ballot pearson financi time last week offer voluntari redund 30 report nation union journalist stood strong behind journalist rule strike manag torn agre procedur kick staff teeth sack peopl pay print facil jeremi dear nuj general secretari nuj offici barri fitzpatrick compani ignor 90day consult period requir compani plan 10 redund shown complet disregard consult right member mr fitzpatrick ad compani plan observ consult procedur two telegraph titl current employ 521 journalist broadsheet newspap especi move tabloid format suffer circul declin hit revenu telegraph announc plan go tabloid although independ time seen circul rise sinc shrink size guardian hedg bet plan larger tabloid format like popular continent europ telegraph group bought barclay twin frederick david last year previous own lord conrad black holling intern brother current mull sale anoth busi retail littlewood telegraph execut murdoch maclennan two newspap would add eight colour page come month journalist lifeblood newspap maintain qualiti daili telegraph sunday telegraph reader vital howev action improv product capabl secur titl competit also vital mani newspap invest new print machineri enabl print colour page case colour everi page hope boost colour make public attract advertis reader alik recent month news corp news intern unit publish sun news world guardian media group triniti mirror daili mail general trust announc substanti invest new print plant,Business
25,Call centre users 'lose patience',custom tri get call centr get impati quicker hang survey suggest past welcom messag caller averag hang 65 second listen can music drop patienc come number call call centr grow rate 20 everi year custom get use idea alway avail societi say cara diemont firm dimens data commiss survey howev call centr also saw sharp increas custom simpli abandon call say 5 2003 record 133 last year autom phone messag system taken equat custom pick way multipl option messag number abandon call even higher sixth caller give rather wait one possibl reason lack patienc ms diemont say fact custom call move use mobil phone surg custom tri get call centr also reflect centr grow rang task call centr may look mortgag agent may also respons credit card insur current account ms diemont say problem occur increas respons go handinhand train survey found dimens data call alarm develop averag induct time call centr worker fell last year 36 21 day leav agent equip deal custom ms diemont warn scari good bottom line either poor train frustrat call centr worker custom result call centr high churn rate near quarter worker throw towel everi year turn forc compani pay train new staff resolut rate number call custom queri resolv mutual satisfact run 50 queri pass second third person specialist manag rate rise 70 still well industri target 85 resolut rate suggest outsourc reloc call centr lowcost countri like india south africa blame wrong ms diemont say big differ wait time call resolut call centr base europ north america develop countri around world make call centr perform anywher good manag right process place say howev compani decid offshor oper driven cost consider 42 say save money main consider close domest call centr oper half argu worker countri offer better skill money everybodi believ outsourc offshor solut near twothird firm poll survey plan offshor call centr give three key reason make move call centr oper part busi core function worri risk go abroad fear damag brand join offshor drive survey conduct sunov behalf dimens data base indepth questionnair 166 call centr 24 countri five contin experi call centr happi listen vivaldi greensleev want immedi respons work call centr train prepar job,Business
26,Strong demand triggers oil rally,crude oil price surg back 47 barrel mark thursday energi market watchdog rais forecast global demand intern energi agenc iea warn demand opec crude first quarter would outstrip suppli iea rais estim 2005 oil demand growth 80000 barrel day 84 million barrel day us light crude rose 164 4710 brent crude london gain 132 4445 parisbas iea watchdog advis industri nation energi polici upward revis due stronger demand china asian countri fresh ralli crude price follow gain wednesday trigger larg fall us crude suppli follow cold spell north america januari us depart energi report crude stockpil fallen 1m barrel 2943m top ongo problem beleagu russian oil giant yuko also prompt iea revis output estim russia major nonopec supplier think price begin set new rang look like 40 50 level energi analyst orin middleton barclay capit,Business
27,China keeps tight rein on credit,china effort stop economi overh clamp credit continu 2005 state media report curb introduc earlier year ward risk rapid expans might lead soar price also fear much stress might place fragil bank system growth china remain breakneck 91 corpor invest grow 25 year breakneck pace econom expans kept growth 9 year rapid toolingup china manufactur sector mean massiv demand energi one factor kept world oil price skyhigh year theori govern 7 growth target continu insist overshoot mean hard land shape overbalanc economi low exchang rate china yuan peg rate 828 dollar seem relentless declin mean chines export cheap world market china thus far resist intern pressur break link least shift level peg extent credit control seem take effect industri output grew 157 year octob 23 februari inflat slow 43 although retail sale still boom,Business
28,Wembley firm won't make a profit,share multiplex group build new wembley stadium fell much 19 would make money project australian firm would break even 12bn australian dollar £458m 874m rebuild rise cost work profit would depend outcom legal case result chang steel contractor ad cut a68m profit target wembley anoth uk project investor shaken news firm share fell four month low a450 recov close 16 a467 declin came despit multiplex report 11 rise pretax profit a677m 2004 reaffirm 2005 profit forecast increas cost wembley separ develop london dockland saw multiplex construct divis report profit a351m firm result expect stress major uk project also includ white citi redevelop scheme west london perform strong recoup profit wembley firm chang steel contractor due legal disput multiplex win legal claim subcontractor claim could take two year resolv multiplex believ claim sound ultim exceed level need support break even posit expect profit possibl futur period claim finalis wembley stadium due complet januari offici open 2006 fa cup final analyst express concern unexpect pare back profit big writeback wembley project short period impact manag credibl simon wheatley goldman sach told reuter,Business
29,Unilever shake up as profit slips,anglodutch consum good giant unilev merg two manag board report unsatisfactori earn 2004 blame poor result sluggish decis make rise discount retail wet european summer compani also cite difficult trade condit lack demand good slimfast rang unilev own brand includ dove soap annual pretax profit fell 36 29bn euro £199bn share fell 1 51075 penc london drop 12 5050 euro amsterdam restructur plan patrick cescau ukbas cochairman becom group chief execut dutch cochairman antoni burgman take role nonexecut chairman recognis need greater clariti leadership move simpler leadership structur provid sharper oper focus mr burgman leav behind one key featur unilev govern natur develop follow chang introduc last year compani dual headquart rotterdam london sinc 1930 announc locat head offic later date unilev alon tri simplifi busi oil giant shell last year dismantl dualownership structur seri problem relat size oil reserv hammer share price led resign key board member best part news morn compani announc structur simplif arjan sweer analyst petercam compani organiz chang would speed decis make also may make chang compani main focus improv profit plan acceler increas invest 400 main brand certain case market tougher past eighteen month expect also lost market share mr cescau let rang target limit abil flexibl adjust plan quick enough difficult busi environ object revers share loss experienc market 2004 return growth unilev european sale fell 28 last year drag part sale beverag divis revenu dip almost 4 sale ice cream frozen food dip 34 us last year revenu grew 15 despit disappoint sale slimfast compani asia lead product came attack rival procter gambl unilev took 15bn euro onetim charg fourth quarter includ 650m euro writedown slimfast diet food sale slimfast product hit recent year popular atkin diet look ahead unilev optimist prospect slim product say demand wane rival lowcarbohydr diet compani also plan spend 500m euro year buy back share,Business
30,Japanese growth grinds to a halt,growth japan evapor three month septemb spark renew concern economi long decadelong trough output period grew 01 annual rate 03 export usual engin recoveri falter domest demand stay subdu corpor invest also fell short growth fall well short expect mark sixth straight quarter expans economi stagnat throughout 1990s experienc brief spurt expans amid long period doldrum one result deflat price fall rather rise made japanes shopper cautious kept spend effect leav economi depend ever export recent recoveri high oil price knock 02 growth rate fall dollar mean product ship us becom relat expens perform third quarter mark sharp downturn earlier year first quarter show annual growth 63 second show 11 economist predict much 2 time around export slow capit spend becam weaker hiromichi shirakawa chief economist ub secur tokyo person consumpt look good main due temporari factor olymp amber light flash govern may find difficult rais tax polici implement economi pick help deal japan massiv public debt,Business
31,Chinese wine tempts Italy's Illva,itali illva saronno agre buy 33 changyu largest wine maker china changyu statement shenzhen stock exchang illva pay 48142m yuan 5816m £307m govern approv deal italian liqueur maker acquir share yantai state asset manag bureau chines wine sale grow us agricultur depart wine sale 2003 25 611bn yuan china encourag stateown compani sell share foreign investor anheuserbusch heineken scottish newcastl invest chines beer industri last two year illva saronno bet chines wine market yantai state asset manag bureau govern agenc northeastern citi yantai own 55 changyu state agenc also sell 10 stake changyu anoth oversea compani although didnt say remain 12 retain yantai citi govern consumpt wine china still low 022 litr per capita us agricultur depart compar 59 litr franc 12 litr us three litr japan,Business
